Episode,Reward,Length,WinRate,Loss,Entropy
1,-401.0,0,0.0,,
2,-404.0,0,0.0,,
3,-325.0,0,0.0,,
4,-432.0,0,0.0,,
5,-379.0,0,0.0,,
6,-474.0,0,0.0,,
7,-375.0,0,0.0,,
8,-419.0,0,0.0,,
9,-407.0,0,0.0,,
10,-438.0,0,0.0,,
11,-473.0,0,0.0,,
12,-414.0,0,0.0,,
13,-404.0,0,0.0,,
14,-448.0,0,0.0,,
15,-417.0,0,0.0,,
16,-462.0,0,0.0,,
17,-461.0,0,0.0,,
18,-388.0,0,0.0,,
19,-471.0,0,0.0,,
20,-413.0,0,0.0,,
21,-423.0,0,0.0,,
22,-397.0,0,0.0,,
23,-411.0,0,0.0,,
24,-367.0,0,0.0,,
25,-373.0,0,0.0,,
26,-438.0,0,0.0,,
27,-414.0,0,0.0,,
28,-350.0,0,0.0,,
29,-467.0,0,0.0,,
30,-421.0,0,0.0,,
31,-475.0,0,0.0,,
32,-397.0,0,0.0,,
33,-466.0,0,0.0,,
34,-403.0,0,0.0,,
35,-419.0,0,0.0,,
36,-414.0,0,0.0,,
37,-336.0,0,0.0,,
38,-389.0,0,0.0,,
39,-438.0,0,0.0,,
40,-405.0,0,0.0,,
41,-396.0,0,0.0,,
42,-409.0,0,0.0,,
43,-424.0,0,0.0,,
44,-435.0,0,0.0,,
45,-473.0,0,0.0,,
46,-396.0,0,0.0,,
47,-429.0,0,0.0,,
48,-221.0,0,0.0,,
49,-453.0,0,0.0,,
50,-415.0,0,0.0,,
51,-355.0,0,0.0,,
52,-423.0,0,0.0,,
53,-401.0,0,0.0,,
54,-439.0,0,0.0,,
55,-433.0,0,0.0,,
56,-443.0,0,0.0,,
57,-462.0,0,0.0,,
58,-450.0,0,0.0,,
59,-428.0,0,0.0,,
60,-302.0,0,0.0,,
61,-394.0,0,0.0,,
62,-414.0,0,0.0,,
63,-452.0,0,0.0,,
64,-461.0,0,0.0,,
65,-397.0,0,0.0,,
66,-461.0,0,0.0,,
67,-361.0,0,0.0,,
68,-463.0,0,0.0,,
69,-439.0,0,0.0,,
70,-456.0,0,0.0,,
71,-374.0,0,0.0,,
72,-430.0,0,0.0,,
73,-343.0,0,0.0,,
74,-476.0,0,0.0,,
75,-439.0,0,0.0,,
76,-406.0,0,0.0,,
77,-464.0,0,0.0,,
78,-428.0,0,0.0,,
79,-430.0,0,0.0,,
80,-439.0,0,0.0,,
81,-422.0,0,0.0,,
82,-446.0,0,0.0,,
83,-440.0,0,0.0,,
84,-385.0,0,0.0,,
85,-335.0,0,0.0,,
86,-346.0,0,0.0,,
87,-349.0,0,0.0,,
88,-463.0,0,0.0,,
89,-439.0,0,0.0,,
90,-441.0,0,0.0,,
91,-462.0,0,0.0,,
92,-430.0,0,0.0,,
93,-459.0,0,0.0,,
94,-446.0,0,0.0,,
95,-386.0,0,0.0,,
96,-469.0,0,0.0,,
97,-411.0,0,0.0,,
98,-378.0,0,0.0,,
99,-419.0,0,0.0,,
100,-470.0,0,0.0,,
101,-469.0,0,0.0,,
102,-420.0,0,0.0,,
103,-352.0,0,0.0,,
104,-377.0,0,0.0,,
105,-392.0,0,0.0,,
106,-454.0,0,0.0,,
107,-337.0,0,0.0,,
108,-460.0,0,0.0,,
109,-406.0,0,0.0,,
110,-439.0,0,0.0,,
111,-395.0,0,0.0,,
112,-420.0,0,0.0,,
113,-422.0,0,0.0,,
114,-349.0,0,0.0,,
115,-439.0,0,0.0,,
116,-351.0,0,0.0,,
117,-442.0,0,0.0,,
118,-423.0,0,0.0,,
119,-421.0,0,0.0,,
120,-406.0,0,0.0,,
121,-421.0,0,0.0,,
122,-393.0,0,0.0,,
123,-317.0,0,0.0,,
124,-453.0,0,0.0,,
125,-422.0,0,0.0,,
126,-415.0,0,0.0,,
127,-441.0,0,0.0,,
128,-436.0,0,0.0,,
129,-238.0,0,0.0,,
130,-463.0,0,0.0,,
131,-459.0,0,0.0,,
132,-448.0,0,0.0,,
133,-402.0,0,0.0,,
134,-417.0,0,0.0,,
135,-250.0,0,0.0,,
136,-450.0,0,0.0,,
137,-439.0,0,0.0,,
138,-420.0,0,0.0,,
139,-376.0,0,0.0,,
140,-377.0,0,0.0,,
141,-390.0,0,0.0,,
142,-336.0,0,0.0,,
143,-461.0,0,0.0,,
144,-452.0,0,0.0,,
145,-472.0,0,0.0,,
146,-397.0,0,0.0,,
147,-426.0,0,0.0,,
148,-473.0,0,0.0,,
149,-463.0,0,0.0,,
150,-480.0,0,0.0,,
151,-466.0,0,0.0,,
152,-352.0,0,0.0,,
