Episode,Reward,Length,WinRate,Loss,Entropy
1,-376.0,211,0.0,,
2,-433.0,105,0.0,,
3,-402.0,203,0.0,,
4,-310.0,179,0.0,,
5,-395.0,69,0.0,,
6,-477.0,33,0.0,,
7,-440.0,39,0.0,,
8,-388.0,115,0.0,,
9,-98.0,415,0.0,,
10,-358.0,95,0.0,,
11,-493.0,45,0.0,,
12,-483.0,165,0.0,,
13,110.0,500,0.0,,
14,-480.0,19,0.0,,
15,-436.0,111,0.0,,
16,-415.0,189,0.0,,
17,-465.0,149,0.0,,
18,-458.0,75,0.0,,
19,-423.0,45,0.0,,
20,-466.0,51,0.0,,
21,-468.0,35,0.0,,
22,-457.0,13,0.0,,
23,-459.0,17,0.0,,
24,-380.0,259,0.0,,
25,-358.0,155,0.0,,
26,-440.0,59,0.0,,
27,-425.0,49,0.0,,
28,-408.0,95,0.0,,
29,-461.0,41,0.0,,
30,-388.0,75,0.0,,
31,-448.0,55,0.0,,
32,-445.0,49,0.0,,
33,-383.0,265,0.0,,
34,-458.0,35,0.0,,
35,-466.0,51,0.0,,
36,-475.0,249,0.0,,
37,-464.0,27,0.0,,
38,-378.0,175,0.0,,
39,-431.0,81,0.0,,
40,-461.0,21,0.0,,
41,-439.0,17,0.0,,
42,-60.0,379,0.0,,
43,-441.0,21,0.0,,
44,-402.0,43,0.0,,
45,-411.0,101,0.0,,
46,-470.0,19,0.0,,
47,-438.0,95,0.0,,
48,-456.0,391,0.0,,
49,-448.0,35,0.0,,
50,110.0,500,0.0,,
51,-467.0,433,0.0,,
52,-356.0,131,0.0,,
53,-433.0,45,0.0,,
54,-471.0,81,0.0,,
55,-436.0,31,0.0,,
56,-463.0,65,0.0,,
57,-420.0,99,0.0,,
58,-429.0,77,0.0,,
59,-463.0,25,0.0,,
60,20.0,500,0.0,,
61,-277.0,413,0.0,,
62,-196.0,391,0.0,,
63,180.0,500,0.0,,
64,-433.0,25,0.0,,
65,-401.0,161,0.0,,
66,-463.0,85,0.0,,
67,-451.0,41,0.0,,
68,-478.0,55,0.0,,
69,-370.0,159,0.0,,
70,-436.0,51,0.0,,
71,-233.0,105,0.0,,
72,-394.0,127,0.0,,
73,-352.0,163,0.0,,
74,-472.0,23,0.0,,
75,-414.0,107,0.0,,
76,-392.0,63,0.0,,
77,-389.0,317,0.0,,
78,-354.0,167,0.0,,
79,-395.0,129,0.0,,
80,-398.0,135,0.0,,
81,-375.0,89,0.0,,
82,-347.0,133,0.0,,
83,-412.0,63,0.0,,
84,-457.0,13,0.0,,
85,-464.0,27,0.0,,
86,-441.0,21,0.0,,
87,-366.0,231,0.0,,
88,-374.0,87,0.0,,
89,-387.0,73,0.0,,
90,-398.0,55,0.0,,
91,-389.0,197,0.0,,
92,-463.0,45,0.0,,
